1001    a+b                               

1002    找每段的单词个数，仔细点模拟就可以了                               

1003    阅读理解题。。把关系找出来就行了                               

1004    把几个单位换算清楚就可以了，简单题                               

1005    裸地01背包，f[i]=max(f[i-w[j]]+v[j])。                               

1006    k的范围又没给啊！！对k个询问每个用spfa做一次就OK了，不给数据范围真心难受。可以默认认为k很小了。。

1007    对于每一维找8个数中的最大值，最后加起来，水题                               

1008    源点和每个人连一条流量为k的的边，人和动物连一条流量为1的边，动物和汇点连一条流量为1的边，若最大流等于动物数量，则yes，否则no。                               

1009    根据条件把能建的边建上，然后跑spfa即可。                               

1010    打表或者其他方式可得到规律，除了最大的数其他的数都会消去，最大的数出现次数为2^(n-1),这个乘积就是答案   

1011    很巧妙的DP，f[n]表示n个人组成队伍的方案数，假设我们要求f[n+1]了，那么第n+1个人的位置一定在某只队的最后，我们枚举这只队包括前面有x只队，那么n+1前面一共有x*3-2个人，后面有n+1-x*3个人，有DP，f[n+1]=sum(f[x*3-2]*f[n+1-x*3]*c(n,x*3-2))。特别的当（n+1）%3！=1时，第n+1个人还可以作为最后一支队的最后一人，这时答案要再加一个f[n]。

1012    很不错的题目，首先与处理出每个格子往右边延伸最多能多长，然后从左到右一列列的扫，每一列用一个单调队列维护答案，如果当前加入的数比队尾大，就统计队尾的答案然后出队，最后把本数入队。复杂度O（n2）。

1013    如果数据范围到了10W的话就只能用字符串最小表示法或者倍增算法来做，这个题直接暴力出所有的字符串排序即可。 

1014    求3阶行列式的值，沙路法直接算，要注意正负                        

*1015    No such problem.                               

1016    把x离散，然后对每个x开个vector，把y放到各自x对应的vector里排序，最后看所有的vector的所有匹配的数的平均值是不是一样的。                               

*1017    计算几何。                               

1018    首先找出序列中所有的置换，然后对于每个置换有两种方法将其调成合法。1.每次用置换中最小的数去和其他数换，ans=sum+min*(num-2）。2.用全局最小的元素换所有元素，最后还要把这个元素换出去，ans=sum+allmin*(num+1)。对于每个置换两种方案取min值相加就可以了。                               

1019    代码题，按照题目做就可以了。                               

1020    跟着操作模拟即可                               

*1021    No such problem.                               

1022    把所有的题目按T排序，然后按顺序插入到集合中，如果集合中题目的数量比当前题目的T小，则直接插入，否则如果当前的数的C比集合中最小的数小，就不加入，计算代价，否则把集合中最小的数拿出来计算代价，把这个数插入集合中，最后的总代价就是答案。                               

